Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-02 00:00:00-05:00,25.0,27.0,24.0,27.0,1220,0.0,0.0
1996-01-03 00:00:00-05:00,28.0,28.0,24.0,26.0,2650,0.0,0.0
1996-01-04 00:00:00-05:00,26.0,27.0,26.0,27.0,440,0.0,0.0
1996-01-05 00:00:00-05:00,27.0,27.0,26.0,27.0,250,0.0,0.0
1996-01-08 00:00:00-05:00,27.0,28.0,27.0,27.0,250,0.0,0.0
1996-01-09 00:00:00-05:00,27.0,28.0,25.0,25.0,520,0.0,0.0
1996-01-10 00:00:00-05:00,26.0,28.0,25.0,26.0,600,0.0,0.0
1996-01-11 00:00:00-05:00,25.0,25.0,25.0,25.0,60,0.0,0.0
1996-01-12 00:00:00-05:00,28.0,28.0,27.0,27.0,300,0.0,0.0
1996-01-15 00:00:00-05:00,25.0,25.0,25.0,25.0,110,0.0,0.0
1996-01-16 00:00:00-05:00,25.0,25.0,24.0,25.0,910,0.0,0.0
1996-01-17 00:00:00-05:00,26.0,29.0,26.0,29.0,400,0.0,0.0
1996-01-18 00:00:00-05:00,28.0,29.0,28.0,28.0,310,0.0,0.0
1996-01-19 00:00:00-05:00,28.0,28.0,26.0,27.0,230,0.0,0.0
1996-01-22 00:00:00-05:00,25.0,29.0,24.0,29.0,2280,0.0,0.0
1996-01-23 00:00:00-05:00,29.0,30.0,27.0,28.0,1250,0.0,0.0
1996-01-24 00:00:00-05:00,28.0,28.0,26.0,27.0,510,0.0,0.0
1996-01-25 00:00:00-05:00,27.0,29.0,27.0,28.0,330,0.0,0.0
1996-01-26 00:00:00-05:00,27.0,29.0,27.0,29.0,100,0.0,0.0
1996-01-29 00:00:00-05:00,29.0,29.0,27.0,29.0,380,0.0,0.0
1996-01-30 00:00:00-05:00,27.0,27.0,27.0,27.0,200,0.0,0.0
1996-01-31 00:00:00-05:00,28.0,31.0,28.0,30.0,360,0.0,0.0
1996-02-01 00:00:00-05:00,28.0,31.0,28.0,30.0,610,0.0,0.0
1996-02-02 00:00:00-05:00,30.0,31.0,29.0,29.0,400,0.0,0.0
1996-02-05 00:00:00-05:00,30.0,30.0,29.0,29.0,70,0.0,0.0
1996-02-06 00:00:00-05:00,30.0,33.0,30.0,32.0,760,0.0,0.0
1996-02-07 00:00:00-05:00,31.0,31.0,30.0,31.0,940,0.0,0.0
1996-02-08 00:00:00-05:00,30.0,30.0,30.0,30.0,90,0.0,0.0
1996-02-09 00:00:00-05:00,28.0,29.0,28.0,29.0,330,0.0,0.0
1996-02-12 00:00:00-05:00,29.0,29.0,29.0,29.0,100,0.0,0.0
1996-02-13 00:00:00-05:00,29.0,29.0,29.0,29.0,150,0.0,0.0
1996-02-14 00:00:00-05:00,29.0,29.0,27.0,27.0,120,0.0,0.0
1996-02-15 00:00:00-05:00,28.0,30.0,28.0,28.0,160,0.0,0.0
1996-02-16 00:00:00-05:00,30.0,30.0,30.0,30.0,50,0.0,0.0
1996-02-19 00:00:00-05:00,27.0,28.0,27.0,27.0,300,0.0,0.0
1996-02-20 00:00:00-05:00,27.0,27.0,27.0,27.0,50,0.0,0.0
1996-02-21 00:00:00-05:00,30.0,30.0,30.0,30.0,290,0.0,0.0
1996-02-22 00:00:00-05:00,28.0,30.0,27.0,27.0,420,0.0,0.0
1996-02-23 00:00:00-05:00,27.0,27.0,27.0,27.0,10,0.0,0.0
1996-02-26 00:00:00-05:00,29.0,29.0,29.0,29.0,120,0.0,0.0
1996-02-27 00:00:00-05:00,30.0,36.0,30.0,34.0,2350,0.0,0.0
1996-02-28 00:00:00-05:00,35.0,37.0,32.0,36.0,1270,0.0,0.0
1996-02-29 00:00:00-05:00,35.0,39.0,35.0,39.0,930,0.0,0.0
1996-03-01 00:00:00-05:00,38.0,38.0,35.0,35.0,290,0.0,0.0
1996-03-04 00:00:00-05:00,36.0,36.0,34.0,34.0,500,0.0,0.0
1996-03-05 00:00:00-05:00,34.0,34.0,31.0,32.0,570,0.0,0.0
1996-03-06 00:00:00-05:00,32.0,33.0,30.0,30.0,400,0.0,0.0
1996-03-07 00:00:00-05:00,30.0,30.0,30.0,30.0,40,0.0,0.0
1996-03-08 00:00:00-05:00,30.0,30.0,30.0,30.0,170,0.0,0.0
1996-03-11 00:00:00-05:00,26.0,28.0,26.0,28.0,310,0.0,0.0
1996-03-12 00:00:00-05:00,29.0,29.0,29.0,29.0,10,0.0,0.0
1996-03-13 00:00:00-05:00,29.0,30.0,28.0,28.0,340,0.0,0.0
1996-03-14 00:00:00-05:00,30.0,31.0,30.0,30.0,480,0.0,0.0
1996-03-15 00:00:00-05:00,32.0,32.0,28.0,30.0,350,0.0,0.0
1996-03-18 00:00:00-05:00,31.0,31.0,29.0,29.0,310,0.0,0.0
1996-03-19 00:00:00-05:00,30.0,31.0,28.0,28.0,370,0.0,0.0
